Vyhodnocováno skriptem: FortyThree.py 
 
Vstupní parametry: 
Faktor šírky píku = 1 
Pocet iterací pri vyhlazování pozadí = 8  
Byl použit 4. typ vyhlazování pozadí. 
Spektrum nebylo vyhlazováno. 
 
# energy calib 1: 0.5939637
# energy calib 2: 0
# live time (s): 2465.52
 
Energie (keV)                Plocha (-)                Reakce                   Intenzita(%)                 Isotop                    Polocas (s)
   976.861797                  7.046316                   -                           -                         -                           -  
   979.237651                  1.789786                   -                           -                         -                           -  
   981.613506                 22.044470                   -                           -                         -                           -  
   985.771252                 20.779493                   -                           -                         -                           -  
   986.959179                  7.609498                   -                           -                         -                           -  
   989.335034                  6.642166                   -                           -                         -                           -  
   991.710889                  6.178833                   -                           -                         -                           -  
   994.086743                 14.046055                   -                           -                         -                           -  
   995.868635                  6.130981                   -                           -                         -                           -  
   997.650526                  6.154772                   -                           -                         -                           -  
  1000.620344                 40.062932                   n,a                       0.0470                     194Ir                   69408.0 
  1004.184126                  0.350530                   -                           -                         -                           -  
  1005.372053                  4.672399                  n,2n                       0.0027                     196Au                 532820.16 
  1007.153944                  8.764361                  n,4n                       0.0650                     194Au                  136872.0 
  1010.717727                  1.471900                   -                           -                         -                           -  
  1014.281509                 35.487227                   -                           -                         -                           -  
  1016.657363                 23.997445                   -                           -                         -                           -  
  1019.033218                 -3.019181                   -                           -                         -                           -  
  1021.409073                  5.549162                   -                           -                         -                           -  
  1023.190964                 14.516387                   -                           -                         -                           -  
  1024.972855                  0.727685                   -                           -                         -                           -  
  1026.160782                  6.121389                   -                           -                         -                           -  
  1029.724564                 11.318241                   -                           -                         -                           -  
  1030.912492                 10.928186                  n,4n                       0.0100                     194Au                  136872.0 
  1032.694383                  8.420506                   -                           -                         -                           -  
  1035.070238                  5.029058                   -                           -                         -                           -  
  1036.852129                 11.009686                   -                           -                         -                           -  
  1038.634020                 16.862216                  n,4n                       0.3000                     194Au                  136872.0 
  1041.603838                  5.445521                   -                           -                         -                           -  
